Retriever BM25 prepared in 0.23412227630615234 seconds
[0]: Semantic Similarity: -0.00841,	 retrieve time: 0.22894883155822754,	 generate time: 9.683725833892822
[36]: Semantic Similarity: 0.36043,	 retrieve time: 0.0028874874114990234,	 generate time: 8.455177545547485
[36]: [Cumulative]: Semantic Similarity: 0.26364,	 retrieve time: 0.009401024998845282,	 generate time: 4.063730065887039
[37]: Semantic Similarity: 0.07388,	 retrieve time: 0.0040433406829833984,	 generate time: 0.5329234600067139
[37]: [Cumulative]: Semantic Similarity: 0.25865,	 retrieve time: 0.0092600333063226,	 generate time: 3.9708141025743986
[38]: Semantic Similarity: 0.39811,	 retrieve time: 0.003515005111694336,	 generate time: 2.984916925430298
[38]: [Cumulative]: Semantic Similarity: 0.26223,	 retrieve time: 0.009112724891075721,	 generate time: 3.945534687775832
[39]: Semantic Similarity: 0.51958,	 retrieve time: 0.003457784652709961,	 generate time: 0.3795640468597412
[39]: [Cumulative]: Semantic Similarity: 0.26866,	 retrieve time: 0.008971351385116576,	 generate time: 3.85638542175293
[40]: Semantic Similarity: -0.04146,	 retrieve time: 0.0029103755950927734,	 generate time: 1.693434238433838
[40]: [Cumulative]: Semantic Similarity: 0.2611,	 retrieve time: 0.008823522707311118,	 generate time: 3.803630514842708
[41]: Semantic Similarity: 0.06182,	 retrieve time: 0.0029828548431396484,	 generate time: 0.36411070823669434
[41]: [Cumulative]: Semantic Similarity: 0.25635,	 retrieve time: 0.008684459186735608,	 generate time: 3.721737186113993
[42]: Semantic Similarity: 0.22532,	 retrieve time: 0.003276348114013672,	 generate time: 8.993492841720581
[42]: [Cumulative]: Semantic Similarity: 0.25563,	 retrieve time: 0.008558689161788586,	 generate time: 3.8443361548490302
[43]: Semantic Similarity: 0.50145,	 retrieve time: 0.0041158199310302734,	 generate time: 0.44986462593078613
[43]: [Cumulative]: Semantic Similarity: 0.26122,	 retrieve time: 0.008457714861089533,	 generate time: 3.767189074646343
[44]: Semantic Similarity: 0.11474,	 retrieve time: 0.003067493438720703,	 generate time: 8.239307641983032
[44]: [Cumulative]: Semantic Similarity: 0.25796,	 retrieve time: 0.00833793216281467,	 generate time: 3.866569487253825
[45]: Semantic Similarity: 0.20424,	 retrieve time: 0.0032689571380615234,	 generate time: 1.133042335510254
[45]: [Cumulative]: Semantic Similarity: 0.25679,	 retrieve time: 0.008227737053580906,	 generate time: 3.8071449839550517
[46]: Semantic Similarity: -0.0231,	 retrieve time: 0.0031669139862060547,	 generate time: 0.3624706268310547
[46]: [Cumulative]: Semantic Similarity: 0.25084,	 retrieve time: 0.008120059967041016,	 generate time: 3.733854040186456
[47]: Semantic Similarity: 0.55873,	 retrieve time: 0.003185749053955078,	 generate time: 0.43246936798095703
[47]: [Cumulative]: Semantic Similarity: 0.25725,	 retrieve time: 0.008017261823018393,	 generate time: 3.665075192848841
[48]: Semantic Similarity: 0.23073,	 retrieve time: 0.0035524368286132812,	 generate time: 0.4096968173980713
[48]: [Cumulative]: Semantic Similarity: 0.25671,	 retrieve time: 0.007926142945581553,	 generate time: 3.598638899472295
[49]: Semantic Similarity: 0.51172,	 retrieve time: 0.004857063293457031,	 generate time: 8.947412252426147
[49]: [Cumulative]: Semantic Similarity: 0.26181,	 retrieve time: 0.007864761352539062,	 generate time: 3.705614366531372
[50]: Semantic Similarity: 0.71719,	 retrieve time: 0.003938436508178711,	 generate time: 0.5600509643554688
[50]: [Cumulative]: Semantic Similarity: 0.27074,	 retrieve time: 0.007787774590884938,	 generate time: 3.6439366527632173
[51]: Semantic Similarity: 0.23804,	 retrieve time: 0.0035996437072753906,	 generate time: 5.2000792026519775
[51]: [Cumulative]: Semantic Similarity: 0.27011,	 retrieve time: 0.007707233612353985,	 generate time: 3.6738624710303087
[52]: Semantic Similarity: 0.39971,	 retrieve time: 0.006203174591064453,	 generate time: 2.4388413429260254
[52]: [Cumulative]: Semantic Similarity: 0.27256,	 retrieve time: 0.0076788551402541825,	 generate time: 3.6505601855943786
[53]: Semantic Similarity: 0.34001,	 retrieve time: 0.0033028125762939453,	 generate time: 6.33607029914856
[53]: [Cumulative]: Semantic Similarity: 0.27381,	 retrieve time: 0.0075978173149956595,	 generate time: 3.7002918543639005
[54]: Semantic Similarity: 0.5375,	 retrieve time: 0.003953695297241211,	 generate time: 5.6476757526397705
[54]: [Cumulative]: Semantic Similarity: 0.2786,	 retrieve time: 0.007531560551036488,	 generate time: 3.735698834332553
[55]: Semantic Similarity: -0.00389,	 retrieve time: 0.004864215850830078,	 generate time: 9.450209140777588
[55]: [Cumulative]: Semantic Similarity: 0.27356,	 retrieve time: 0.007483929395675659,	 generate time: 3.837743661233357
[56]: Semantic Similarity: 0.13855,	 retrieve time: 0.004286050796508789,	 generate time: 10.395415544509888
[56]: [Cumulative]: Semantic Similarity: 0.27119,	 retrieve time: 0.007427826262356942,	 generate time: 3.952790536378559
[57]: Semantic Similarity: 0.49833,	 retrieve time: 0.003209829330444336,	 generate time: 4.466902256011963
[57]: [Cumulative]: Semantic Similarity: 0.2751,	 retrieve time: 0.007355102177323966,	 generate time: 3.9616545315446525
[58]: Semantic Similarity: 0.27676,	 retrieve time: 0.0036606788635253906,	 generate time: 5.994067668914795
[58]: [Cumulative]: Semantic Similarity: 0.27513,	 retrieve time: 0.007292484833022295,	 generate time: 3.996102211839062
[59]: Semantic Similarity: 0.14323,	 retrieve time: 0.0031347274780273438,	 generate time: 1.129216194152832
[59]: [Cumulative]: Semantic Similarity: 0.27293,	 retrieve time: 0.007223188877105713,	 generate time: 3.9483207782109577
[60]: Semantic Similarity: 0.32704,	 retrieve time: 0.0030841827392578125,	 generate time: 1.4136126041412354
[60]: [Cumulative]: Semantic Similarity: 0.27382,	 retrieve time: 0.007155336317468862,	 generate time: 3.9067681851934215
[61]: Semantic Similarity: 0.48616,	 retrieve time: 0.003479480743408203,	 generate time: 1.133258581161499
[61]: [Cumulative]: Semantic Similarity: 0.27725,	 retrieve time: 0.0070960483243388515,	 generate time: 3.8620341593219387
[62]: Semantic Similarity: 0.29019,	 retrieve time: 0.00421452522277832,	 generate time: 0.8852827548980713
[62]: [Cumulative]: Semantic Similarity: 0.27745,	 retrieve time: 0.00705030986240932,	 generate time: 3.8147841370294966
[63]: Semantic Similarity: 0.13718,	 retrieve time: 0.003599405288696289,	 generate time: 9.530747413635254
[63]: [Cumulative]: Semantic Similarity: 0.27526,	 retrieve time: 0.006996389478445053,	 generate time: 3.9040960632264614
[64]: Semantic Similarity: 0.31148,	 retrieve time: 0.004224300384521484,	 generate time: 0.3771042823791504
[64]: [Cumulative]: Semantic Similarity: 0.27582,	 retrieve time: 0.006953741953923152,	 generate time: 3.849834651213426
[65]: Semantic Similarity: 0.48534,	 retrieve time: 0.0031185150146484375,	 generate time: 0.904097318649292
[65]: [Cumulative]: Semantic Similarity: 0.27899,	 retrieve time: 0.006895632454843232,	 generate time: 3.8052022673866968
[66]: Semantic Similarity: 0.29131,	 retrieve time: 0.0032858848571777344,	 generate time: 1.0476067066192627
[66]: [Cumulative]: Semantic Similarity: 0.27918,	 retrieve time: 0.006841755625027329,	 generate time: 3.764044124688675
[67]: Semantic Similarity: 0.63434,	 retrieve time: 0.003423929214477539,	 generate time: 10.395903587341309
[67]: [Cumulative]: Semantic Similarity: 0.2844,	 retrieve time: 0.006791493471931009,	 generate time: 3.8615714697276844
[68]: Semantic Similarity: 0.19915,	 retrieve time: 0.005281686782836914,	 generate time: 1.411106824874878
[68]: [Cumulative]: Semantic Similarity: 0.28316,	 retrieve time: 0.0067696122155673265,	 generate time: 3.826057489367499
[69]: Semantic Similarity: 0.51347,	 retrieve time: 0.0030913352966308594,	 generate time: 0.3811380863189697
[69]: [Cumulative]: Semantic Similarity: 0.28645,	 retrieve time: 0.006717065402439663,	 generate time: 3.776844355038234
[70]: Semantic Similarity: 0.43811,	 retrieve time: 0.0031461715698242188,	 generate time: 1.4346001148223877
[70]: [Cumulative]: Semantic Similarity: 0.28859,	 retrieve time: 0.006666771123107051,	 generate time: 3.7438549995422363
[71]: Semantic Similarity: 0.57057,	 retrieve time: 0.0037603378295898438,	 generate time: 9.28447699546814
[71]: [Cumulative]: Semantic Similarity: 0.29251,	 retrieve time: 0.0066264039940304225,	 generate time: 3.820808082818985
[72]: Semantic Similarity: 0.2709,	 retrieve time: 0.002912282943725586,	 generate time: 8.257607221603394
[72]: [Cumulative]: Semantic Similarity: 0.29221,	 retrieve time: 0.006575525623478302,	 generate time: 3.881586153213292
[73]: Semantic Similarity: 0.07938,	 retrieve time: 0.0027952194213867188,	 generate time: 9.216463804244995
[73]: [Cumulative]: Semantic Similarity: 0.28933,	 retrieve time: 0.006524440404531118,	 generate time: 3.95367909444345
[74]: Semantic Similarity: 0.20922,	 retrieve time: 0.0029778480529785156,	 generate time: 0.679633378982544
[74]: [Cumulative]: Semantic Similarity: 0.28826,	 retrieve time: 0.006477152506510417,	 generate time: 3.910025151570638
[75]: Semantic Similarity: -0.23461,	 retrieve time: 0.0030989646911621094,	 generate time: 9.154817819595337
[75]: [Cumulative]: Semantic Similarity: 0.28138,	 retrieve time: 0.006432702666834781,	 generate time: 3.9790355814130685
[76]: Semantic Similarity: 0.64596,	 retrieve time: 0.0034453868865966797,	 generate time: 5.875998020172119
[76]: [Cumulative]: Semantic Similarity: 0.28612,	 retrieve time: 0.00639390635800052,	 generate time: 4.003671457241108
[77]: Semantic Similarity: 0.04071,	 retrieve time: 0.003626585006713867,	 generate time: 1.5319199562072754
[77]: [Cumulative]: Semantic Similarity: 0.28297,	 retrieve time: 0.006358427879137871,	 generate time: 3.971982335432982
[78]: Semantic Similarity: 0.32638,	 retrieve time: 0.003229856491088867,	 generate time: 0.6259112358093262
[78]: [Cumulative]: Semantic Similarity: 0.28352,	 retrieve time: 0.006318825709668896,	 generate time: 3.929627005057999
[79]: Semantic Similarity: 0.74982,	 retrieve time: 0.0040585994720458984,	 generate time: 3.8329219818115234
[79]: [Cumulative]: Semantic Similarity: 0.28935,	 retrieve time: 0.006290572881698609,	 generate time: 3.9284181922674177
[80]: Semantic Similarity: 0.19523,	 retrieve time: 0.0032269954681396484,	 generate time: 8.194896936416626
[80]: [Cumulative]: Semantic Similarity: 0.28819,	 retrieve time: 0.006252750938321337,	 generate time: 3.9810907693556796
[81]: Semantic Similarity: 0.59501,	 retrieve time: 0.005231142044067383,	 generate time: 9.23440933227539
[81]: [Cumulative]: Semantic Similarity: 0.29193,	 retrieve time: 0.00624029229326946,	 generate time: 4.0451556298790905
[82]: Semantic Similarity: 0.20094,	 retrieve time: 0.002797842025756836,	 generate time: 0.4044668674468994
[82]: [Cumulative]: Semantic Similarity: 0.29083,	 retrieve time: 0.0061988169888415965,	 generate time: 4.001291909849788
[83]: Semantic Similarity: 0.22486,	 retrieve time: 0.0032591819763183594,	 generate time: 9.349133014678955
[83]: [Cumulative]: Semantic Similarity: 0.29005,	 retrieve time: 0.006163821333930606,	 generate time: 4.064956684907277
[84]: Semantic Similarity: 0.58382,	 retrieve time: 0.003679513931274414,	 generate time: 5.318317413330078
[84]: [Cumulative]: Semantic Similarity: 0.29351,	 retrieve time: 0.006134594188017004,	 generate time: 4.0797021052416635
[85]: Semantic Similarity: 0.41636,	 retrieve time: 0.002941131591796875,	 generate time: 9.234329223632812
[85]: [Cumulative]: Semantic Similarity: 0.29493,	 retrieve time: 0.006097460902014444,	 generate time: 4.139639629874119
[86]: Semantic Similarity: 0.06759,	 retrieve time: 0.003052949905395508,	 generate time: 6.341636896133423
[86]: [Cumulative]: Semantic Similarity: 0.29232,	 retrieve time: 0.006062466522742962,	 generate time: 4.164949943279398
[87]: Semantic Similarity: 0.27653,	 retrieve time: 0.003576040267944336,	 generate time: 0.9028720855712891
[87]: [Cumulative]: Semantic Similarity: 0.29214,	 retrieve time: 0.006034211678938432,	 generate time: 4.127880876714533
[88]: Semantic Similarity: 0.44979,	 retrieve time: 0.0033321380615234375,	 generate time: 0.3999950885772705
[88]: [Cumulative]: Semantic Similarity: 0.29391,	 retrieve time: 0.006003851301214668,	 generate time: 4.085994519544451
[89]: Semantic Similarity: 0.33294,	 retrieve time: 0.003330707550048828,	 generate time: 4.4120399951934814
[89]: [Cumulative]: Semantic Similarity: 0.29435,	 retrieve time: 0.0059741497039794925,	 generate time: 4.089617247051663
[90]: Semantic Similarity: 0.5039,	 retrieve time: 0.0037908554077148438,	 generate time: 1.641146183013916
[90]: [Cumulative]: Semantic Similarity: 0.29665,	 retrieve time: 0.005950157458965595,	 generate time: 4.062710971622677
[91]: Semantic Similarity: 0.47244,	 retrieve time: 0.0030596256256103516,	 generate time: 0.7895021438598633
[91]: [Cumulative]: Semantic Similarity: 0.29856,	 retrieve time: 0.005918738634689995,	 generate time: 4.027132614799168
[92]: Semantic Similarity: 0.34735,	 retrieve time: 0.0034122467041015625,	 generate time: 10.070337295532227
[92]: [Cumulative]: Semantic Similarity: 0.29908,	 retrieve time: 0.005891787108554635,	 generate time: 4.092113310290921
[93]: Semantic Similarity: 0.07503,	 retrieve time: 0.003170490264892578,	 generate time: 8.769971132278442
[93]: [Cumulative]: Semantic Similarity: 0.2967,	 retrieve time: 0.005862837142132698,	 generate time: 4.141877755205682
[94]: Semantic Similarity: 0.1018,	 retrieve time: 0.0033905506134033203,	 generate time: 2.4363315105438232
[94]: [Cumulative]: Semantic Similarity: 0.29465,	 retrieve time: 0.005836813073409231,	 generate time: 4.123924636840821
[95]: Semantic Similarity: 0.02219,	 retrieve time: 0.0033273696899414062,	 generate time: 3.1698765754699707
[95]: [Cumulative]: Semantic Similarity: 0.29181,	 retrieve time: 0.005810673038164775,	 generate time: 4.113986636201541
[96]: Semantic Similarity: -0.06736,	 retrieve time: 0.0027921199798583984,	 generate time: 4.1305835247039795
[96]: [Cumulative]: Semantic Similarity: 0.28811,	 retrieve time: 0.0057795539344708945,	 generate time: 4.114157738144865
[97]: Semantic Similarity: 0.16169,	 retrieve time: 0.0029637813568115234,	 generate time: 0.5067846775054932
[97]: [Cumulative]: Semantic Similarity: 0.28682,	 retrieve time: 0.005750821561229472,	 generate time: 4.077347808954667
[98]: Semantic Similarity: 0.1825,	 retrieve time: 0.0030264854431152344,	 generate time: 0.32335686683654785
[98]: [Cumulative]: Semantic Similarity: 0.28576,	 retrieve time: 0.005723303014581854,	 generate time: 4.039428708529232
[99]: Semantic Similarity: 0.05378,	 retrieve time: 0.0029392242431640625,	 generate time: 9.192646265029907
[99]: [Cumulative]: Semantic Similarity: 0.28345,	 retrieve time: 0.005695462226867676,	 generate time: 4.090960884094239

Result for ./rag_results.txt
Prepare time: 0.23412227630615234
Average Semantic Similarity: 0.2834450954943895
retrieve time: 0.005695462226867676,	 generate time: 4.090960884094239
